S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm),F (mg/L),NO3 (mg/L),Fe (ppm),As (ppb),U (ppb),As (mg/L),U (mg/L),HPI,Category
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395,0.18,8,0.53,-,-,NaN,NaN,176.667,unsafe
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473,0,10,0,-,-,NaN,NaN,0,safe
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556,0,1,0.22,-,-,NaN,NaN,73.333,moderate
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487,0.16,2,0.04,-,-,NaN,NaN,13.333,safe
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567,0.13,11,0.22,-,-,NaN,NaN,73.333,moderate
6,Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526,0.38,0,1.14,-,-,NaN,NaN,380,unsafe
7,Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233,0,3,0.26,-,-,NaN,NaN,86.667,moderate
8,Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457,0.12,1,0,-,-,NaN,NaN,0,safe
9,Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413,0,2,0.13,-,-,NaN,NaN,43.333,safe
10,Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276,0,4,0.26,-,-,NaN,NaN,86.667,moderate
11,Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271,0,2,0.09,-,-,NaN,NaN,30,safe
12,Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72,0.03,1,0,-,-,NaN,NaN,0,safe
13,Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081,0.69,0,1.89,-,-,NaN,NaN,630,unsafe
14,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315,0,2,0.09,-,-,NaN,NaN,30,safe
15,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353,0,0,0.22,-,-,NaN,NaN,73.333,moderate
16,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.9231,12.3667,2023,8.17,628,0,3,0,-,-,NaN,NaN,0,safe
17,Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.9176,12.3671,2023,8.13,342,0.03,0,0,-,-,NaN,NaN,0,safe
18,Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.9431,13.3148,2023,8.16,247,0.02,1,0,-,-,NaN,NaN,0,safe
19,Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.8357,12.9546,2023,7.91,416,0.11,20,6.97,-,-,NaN,NaN,2323.333,unsafe
20,Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.9491,13.1555,2023,8.21,298,0,2,0.22,-,-,NaN,NaN,73.333,moderate
21,Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.9542,12.4946,2023,8.01,427,0.42,11,5.44,-,-,NaN,NaN,1813.333,unsafe
22,Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.9493,12.6063,2023,7.91,294,0.27,26,0.18,-,-,NaN,NaN,60,moderate
23,Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.8532,12.8393,2023,8.03,405,0.11,6,0.04,-,-,NaN,NaN,13.333,safe
24,Andaman & Nicobar Islands,North & Middle Andaman,Parnashala,92.9043,12.5244,2023,8.08,703,0,3,0.18,-,-,NaN,NaN,60,moderate
25,Andaman & Nicobar Islands,North & Middle Andaman,Phooltala Basti,92.7629,12.4118,2023,8.22,541,0.16,13,0.95,-,-,NaN,NaN,316.667,unsafe
26,Andaman & Nicobar Islands,North & Middle Andaman,Porlobjig-15,92.7813,12.496,2023,8.21,290,0,3,1.97,-,-,NaN,NaN,656.667,unsafe
27,Andaman & Nicobar Islands,North & Middle Andaman,Rangat,92.9108,12.5057,2023,8.02,558,0.46,9,0.48,-,-,NaN,NaN,160,unsafe
28,Andaman & Nicobar Islands,North & Middle Andaman,Rest Camp,92.8593,12.8328,2023,7.95,441,0.42,8,0.26,-,-,NaN,NaN,86.667,moderate
29,Andaman & Nicobar Islands,North & Middle Andaman,Shibpur,93.0421,13.2507,2023,7.81,886,0,2,0.22,-,-,NaN,NaN,73.333,moderate
30,Andaman & Nicobar Islands,North & Middle Andaman,Sitanagar,92.9359,13.2261,2023,8.2,301,0,2,0.31,-,-,NaN,NaN,103.333,unsafe
31,Andaman & Nicobar Islands,North & Middle Andaman,South Creek (Sundergarh),92.7919,12.1869,2023,8.02,406,0.08,3,0,-,-,NaN,NaN,0,safe
32,Andaman & Nicobar Islands,North & Middle Andaman,Srinagar,92.8688,13.1399,2023,8.1,513,0,2,0.53,-,-,NaN,NaN,176.667,unsafe
33,Andaman & Nicobar Islands,North & Middle Andaman,Subhasgram,92.9662,13.2432,2023,7.96,1023,0,42,0.22,-,-,NaN,NaN,73.333,moderate
34,Andaman & Nicobar Islands,North & Middle Andaman,Swadeshnagar,92.8924,12.6508,2023,8.23,385,0.1,1,0,-,-,NaN,NaN,0,safe
35,Andaman & Nicobar Islands,North & Middle Andaman,Tikadera,92.814,12.5228,2023,8.16,271,0,2,0.22,-,-,NaN,NaN,73.333,moderate
36,Andaman & Nicobar Islands,North & Middle Andaman,Tugapur No. 8,92.8224,12.8196,2023,7.96,358,0.04,2,1.49,-,-,NaN,NaN,496.667,unsafe
37,Andaman & Nicobar Islands,North & Middle Andaman,Uttara,92.7901,12.328,2023,8.18,405,0.07,1,0,-,-,NaN,NaN,0,safe
38,Andaman & Nicobar Islands,North & Middle Andaman,Webi (Debipur),92.872,12.8669,2023,8.11,190,0.03,25,0.09,-,-,NaN,NaN,30,safe
39,Andaman & Nicobar Islands,South Andaman,6½ No. Forest Camp,92.9671,12.008,2023,8.24,368,0,5,1.27,-,-,NaN,NaN,423.333,unsafe
40,Andaman & Nicobar Islands,South Andaman,Annikat,92.6482,11.7075,2023,8.24,342,0,1,2.28,-,-,NaN,NaN,760,unsafe
41,Andaman & Nicobar Islands,South Andaman,Austinabad (Port Blair),92.7347,11.6351,2023,8.14,278,0.05,0,0,-,-,NaN,NaN,0,safe
42,Andaman & Nicobar Islands,South Andaman,Bambooflat,92.715,11.7055,2023,8.18,515,0.14,0,0.83,-,-,NaN,NaN,276.667,unsafe
43,Andaman & Nicobar Islands,South Andaman,Beadnabad Tubewell,92.7339,11.5856,2023,8.22,307,0,13,0.44,-,-,NaN,NaN,146.667,unsafe
44,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0384,11.8304,2023,7.98,329,0.34,0,0.04,-,-,NaN,NaN,13.333,safe
45,Andaman & Nicobar Islands,South Andaman,Bharatpur,93.0447,11.8362,2023,7.63,384,0.49,3,0,-,-,NaN,NaN,0,safe
46,Andaman & Nicobar Islands,South Andaman,Bindraban,92.6674,11.722,2023,8.23,450,0.02,0,0.82,-,-,NaN,NaN,273.333,unsafe
47,Andaman & Nicobar Islands,South Andaman,Brichganj,92.7377,11.615,2023,8.16,292,0.13,0,0,-,-,NaN,NaN,0,safe
48,Andaman & Nicobar Islands,South Andaman,Brookshabad (Port Blair),92.7404,11.638,2023,8.07,526,0.09,0,0.04,-,-,NaN,NaN,13.333,safe
49,Andaman & Nicobar Islands,South Andaman,Burmanala,92.7294,11.558,2023,8.27,376,0.09,0,0.09,-,-,NaN,NaN,30,safe
50,Andaman & Nicobar Islands,South Andaman,Calicut,92.7264,11.6074,2023,8.17,394,0.08,0,0.26,-,-,NaN,NaN,86.667,moderate
51,Andaman & Nicobar Islands,South Andaman,Calicut Borewell,92.7195,11.6001,2023,8.05,330,0,14,1.01,-,-,NaN,NaN,336.667,unsafe
52,Andaman & Nicobar Islands,South Andaman,Chidiyatapu,92.7019,11.5033,2023,8.22,594,0.07,0,0.09,-,-,NaN,NaN,30,safe
53,Andaman & Nicobar Islands,South Andaman,Chouldari 1,92.667,11.6312,2023,8.24,622,0.1,1,0.09,-,-,NaN,NaN,30,safe
54,Andaman & Nicobar Islands,South Andaman,Corbyn'S Cove (Port Blair),92.746,11.6425,2023,7.7,713,0.13,0,0,-,-,NaN,NaN,0,safe
55,Andaman & Nicobar Islands,South Andaman,Dandaspoint,92.7074,11.6704,2023,8.27,339,0.09,5,2.76,-,-,NaN,NaN,920,unsafe
56,Andaman & Nicobar Islands,South Andaman,Dhannikhari,92.6671,11.6126,2023,8.24,355,0,2,0.3,-,-,NaN,NaN,100,moderate
57,Andaman & Nicobar Islands,South Andaman,Dollyganj Chowk,92.7228,11.6343,2023,8.23,591,0.18,0,0,-,-,NaN,NaN,0,safe
58,Andaman & Nicobar Islands,South Andaman,Dolphin Yatri Niwas,93.0112,12.0189,2023,8.08,259,0,3,0.04,-,-,NaN,NaN,13.333,safe
59,Andaman & Nicobar Islands,South Andaman,Ferrarganj,92.6531,11.7175,2023,8.09,1004,0.52,3,0.13,-,-,NaN,NaN,43.333,safe
60,Andaman & Nicobar Islands,South Andaman,Garacharma,92.7095,11.6137,2023,8,695,0.15,0,0.31,-,-,NaN,NaN,103.333,unsafe
61,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 1,92.9972,12.0302,2023,7.92,809,0.09,4,0,-,-,NaN,NaN,0,safe
62,Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 3,93.0036,12.0232,2023,8.06,413,0.57,2,0,-,-,NaN,NaN,0,safe
63,Andaman & Nicobar Islands,South Andaman,Gupta Para,92.6587,11.5599,2023,8.2,371,0,2,0,-,-,NaN,NaN,0,safe
64,Andaman & Nicobar Islands,South Andaman,Haddo – 2,92.7279,11.7685,2023,8.27,617,0.07,1,0.17,-,-,NaN,NaN,56.667,moderate
65,Andaman & Nicobar Islands,South Andaman,Hasmatabad,92.6455,11.5944,2023,8.11,343,0.09,3,0.4,-,-,NaN,NaN,133.333,unsafe
66,Andaman & Nicobar Islands,South Andaman,Havelock Island Jetty,92.981,12.0413,2023,7.85,1169,0.6,2,0,-,-,NaN,NaN,0,safe
67,Andaman & Nicobar Islands,South Andaman,Herbertabad,92.6151,11.7082,2023,8.23,198,0.15,2,0,-,-,NaN,NaN,0,safe
68,Andaman & Nicobar Islands,South Andaman,Hope Town (Maremon Temple),92.7272,11.6981,2023,8.29,635,0.46,28,0,-,-,NaN,NaN,0,safe
69,Andaman & Nicobar Islands,South Andaman,Junglighat (Vip Road),92.7352,11.6576,2023,8.29,461,0.11,0,0.57,-,-,NaN,NaN,190,unsafe
70,Andaman & Nicobar Islands,South Andaman,Kalapathar,93.0059,11.9749,2023,7.97,852,0,7,0.22,-,-,NaN,NaN,73.333,moderate
71,Andaman & Nicobar Islands,South Andaman,Kanyapuram,92.7069,11.7367,2023,8.09,504,0.35,14,0,-,-,NaN,NaN,0,safe
72,Andaman & Nicobar Islands,South Andaman,Kodiaghat,92.7277,11.5452,2023,8.14,278,0.07,0,0,-,-,NaN,NaN,0,safe
73,Andaman & Nicobar Islands,South Andaman,Krishnanagar,92.9766,12.0018,2023,8.1,368,0.22,2,0.13,-,-,NaN,NaN,43.333,safe
74,Andaman & Nicobar Islands,South Andaman,Lamba Line,92.7495,11.6593,2023,8.16,389,0,2,1.29,-,-,NaN,NaN,430,unsafe
75,Andaman & Nicobar Islands,South Andaman,Laxmanpur,93.0171,11.832,2023,8.12,324,0.42,1,0.22,-,-,NaN,NaN,73.333,moderate
76,Andaman & Nicobar Islands,South Andaman,Light House,92.7378,11.6681,2023,8.22,812,0.38,2,0,-,-,NaN,NaN,0,safe
77,Andaman & Nicobar Islands,South Andaman,Mamyo,92.633,11.5979,2023,8.24,167,0,3,0,-,-,NaN,NaN,0,safe
78,Andaman & Nicobar Islands,South Andaman,Manglutan,92.6602,11.5714,2023,8.09,129,0.25,3,0,-,-,NaN,NaN,0,safe
79,Andaman & Nicobar Islands,South Andaman,Manjeri,92/6501767,11.5393,2023,8.3,732,0.41,10,0,-,-,NaN,NaN,0,safe
80,Andaman & Nicobar Islands,South Andaman,Mannarghat,92.7061,11.7685,2023,8.13,397,0.3,15,0.09,-,-,NaN,NaN,30,safe
81,Andaman & Nicobar Islands,South Andaman,Marina Park,92.7463,11.6711,2023,7.84,418,0.24,0,1.4,-,-,NaN,NaN,466.667,unsafe
82,Andaman & Nicobar Islands,South Andaman,Mile Tilak,92.6557,11.7947,2023,8.21,766,0,1,0,-,-,NaN,NaN,0,safe
83,Andaman & Nicobar Islands,South Andaman,Mithakhari,92.6734,11.6681,2023,8.26,1674,0,10,0,-,-,NaN,NaN,0,unsafe
84,Andaman & Nicobar Islands,South Andaman,Mount Harriyat,92.7326,11.7194,2023,8.23,123,0.07,8,6.06,-,-,NaN,NaN,2020,unsafe
85,Andaman & Nicobar Islands,South Andaman,Namunagar,92.6802,11.6905,2023,8.19,412,0.18,2,2.81,-,-,NaN,NaN,936.667,unsafe
86,Andaman & Nicobar Islands,South Andaman,Nayasahar,92.6767,11.579,2023,8.22,252,0,9,0.09,-,-,NaN,NaN,30,safe
87,Andaman & Nicobar Islands,South Andaman,Neil Kendra,93.0293,11.8332,2023,8.12,460,0,2,0,-,-,NaN,NaN,0,safe
88,Andaman & Nicobar Islands,South Andaman,New Bimliton,92.6963,11.5713,2023,8.17,439,0,0,0.13,-,-,NaN,NaN,43.333,safe
89,Andaman & Nicobar Islands,South Andaman,Ograbraj,92.6612,11.6555,2023,7.7,2532,0.28,1,0.18,-,-,NaN,NaN,60,unsafe
90,Andaman & Nicobar Islands,South Andaman,Pearl Park Resort,93.0144,11.8454,2023,8.03,485,0.38,2,0.09,-,-,NaN,NaN,30,safe
91,Andaman & Nicobar Islands,South Andaman,Port Blair,92.744,11.6706,2023,8.04,818,0.14,12,0,-,-,NaN,NaN,0,safe
92,Andaman & Nicobar Islands,South Andaman,Port Blair (Dobhi Well),92.7349,11.671,2023,8.04,577,0.21,0,0,-,-,NaN,NaN,0,safe
93,Andaman & Nicobar Islands,South Andaman,Port Mout,92.6599,11.6433,2023,8.03,388,0.24,5,0.22,-,-,NaN,NaN,73.333,moderate
94,Andaman & Nicobar Islands,South Andaman,Radhanagar,92.9536,11.9918,2023,8.03,509,0.3,0,0.3,-,-,NaN,NaN,100,moderate
95,Andaman & Nicobar Islands,South Andaman,Ramnagar,93.0453,11.8172,2023,8.22,380,0,0,0,-,-,NaN,NaN,0,safe
96,Andaman & Nicobar Islands,South Andaman,Rangachang,92.737,11.5793,2023,7.99,418,0,2,0.09,-,-,NaN,NaN,30,safe
97,Andaman & Nicobar Islands,South Andaman,Ross Island,92.7638,11.6758,2023,8.08,768,0.37,16,0.22,-,-,NaN,NaN,73.333,moderate
98,Andaman & Nicobar Islands,South Andaman,Saitankhari,92.6661,11.7172,2023,8.2,491,0.16,0,0.26,-,-,NaN,NaN,86.667,moderate
99,Andaman & Nicobar Islands,South Andaman,Shadipur (Port Blair),92.7435,11.6565,2023,7.96,592,0.18,10,0,-,-,NaN,NaN,0,safe
100,Andaman & Nicobar Islands,South Andaman,Shoal  Bay – 8 No.,92.7172,11.8133,2023,8.01,144,0.17,0,8.55,-,-,NaN,NaN,2850,unsafe
101,Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 12 No.,92.7303,11.8472,2023,7.98,340,0.07,2,0,-,-,NaN,NaN,0,safe
102,Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 15 No.,92.7364,11.8656,2023,8.13,202,0,1,0.26,-,-,NaN,NaN,86.667,moderate
103,Andaman & Nicobar Islands,South Andaman,Sippighat,92.6857,11.6032,2023,7.89,624,0.1,1,0.35,-,-,NaN,NaN,116.667,unsafe
104,Andaman & Nicobar Islands,South Andaman,Sitanagar,93.0608,11.8201,2023,7.96,615,0.01,0,0,-,-,NaN,NaN,0,safe
105,Andaman & Nicobar Islands,South Andaman,South Point (Port Blair),92.7538,11.6641,2023,8.29,420,0.05,0,0,-,-,NaN,NaN,0,safe
106,Andaman & Nicobar Islands,South Andaman,Steuwartganj,92.7097,11.7242,2023,8.22,506,0,0,0.13,-,-,NaN,NaN,43.333,safe
107,Andaman & Nicobar Islands,South Andaman,Teylarabad,92.7009,11.6073,2023,8.28,260,0,3,0.13,-,-,NaN,NaN,43.333,safe
108,Andaman & Nicobar Islands,South Andaman,Tirur,92.6156,11.7338,2023,8.07,175,0.39,2,2.28,-,-,NaN,NaN,760,unsafe
109,Andaman & Nicobar Islands,South Andaman,Tushnabad,92.6362,11.6791,2023,8.22,838,0.3,14,0.04,-,-,NaN,NaN,13.333,safe
110,Andaman & Nicobar Islands,South Andaman,Vijaynagar,93.0093,11.9992,2023,8.03,539,0,5,0,-,-,NaN,NaN,0,safe
111,Andaman & Nicobar Islands,South Andaman,Wandur – 2,92.6166,11.5878,2023,8.3,1910,0.34,12,3.44,-,-,NaN,NaN,1146.667,unsafe
112,Andaman & Nicobar Islands,South Andaman,Wimberleyganj,92.7072,11.7403,2023,8,451,0.09,1,0.61,-,-,NaN,NaN,203.333,unsafe
113,Andaman & Nicobar Islands,South Andaman,Wrightmyo,92.7087,11.7793,2023,8.21,75,0,1,0,-,-,NaN,NaN,0,safe
114,Arunachal Pradesh,Changlang,Jairampur,96.0144,27.3561,2023,7.29,265,0.08,0,1.01,0.09,0.06,0.0001,0.0001,337.767,unsafe
115,Arunachal Pradesh,Changlang,Namchik,95.972,27.4146,2023,7.29,279,0.07,0,0.17,1.07,0.05,0.0011,0.0001,67.533,moderate
116,Arunachal Pradesh,Changlang,Namphai,96.1086,27.4461,2023,7.26,261,0.06,0,0.09,0.01,0.01,0,0,30.133,safe
117,Arunachal Pradesh,Changlang,Newlisan Kharsang,96.0418,27.4269,2023,7.24,260,0.06,0,0.95,0.45,0.03,0.0005,0,321.267,unsafe
118,Arunachal Pradesh,East Siang,Pasighat New,95.3358,28.0362,2023,7.99,466,0.07,2,0.01,0,0.03,0,0,3.433,safe
119,Arunachal Pradesh,East Siang,Oyan,95.3183,27.8902,2023,7.9,469,0.06,3,0.66,1.62,0.07,0.0016,0.0001,236.433,unsafe
120,Arunachal Pradesh,East Siang,Ruksin,95.2182,27.8378,2023,7.83,465,0.05,2,0.01,0.1,0,0.0001,0,4.333,safe
121,Arunachal Pradesh,Lohit,Lathow,95.9098,27.7395,2023,7.29,271,0.05,0,0.87,0.29,0.08,0.0003,0.0001,293.167,unsafe
122,Arunachal Pradesh,Papumpare,Banderedewa I,93.8258,27.1053,2023,7.78,204,0.03,5,0.31,0.01,0,0,0,103.433,unsafe
123,Arunachal Pradesh,Tirap,Deomali,95.4628,27.1966,2023,7.74,216,0.03,7,3.36,0.06,0.01,0.0001,0,1120.633,unsafe
124,Arunachal Pradesh,Tirap,Borduria,95.4131,27.1152,2023,7.68,212,0.03,8,3.22,0,0.07,0,0.0001,1073.567,unsafe
125,Arunachal Pradesh,Tirap,Hukanjuri,95.4377,27.1258,2023,7.73,212,0.03,7,0.01,0.06,0.06,0.0001,0.0001,4.133,safe
126,Assam,Baksa,Anandapur C-Block,91.4042,26.68,2023,7.63,149,0.07,4,0.9,1.85,0.07,0.0019,0.0001,318.733,unsafe
127,Assam,Baksa,Bhebla,91.2393,26.6506,2023,7.76,625,0.16,4,1.02,0.28,0.19,0.0003,0.0002,343.433,unsafe
128,Assam,Baksa,Deusunga Ambarishnagar,91.7078,26.7566,2023,7.47,384,0.06,2,1.29,4.34,0.12,0.0043,0.0001,473.8,unsafe
129,Assam,Baksa,Gyati Gaon,90.9992,26.6594,2023,7.55,234,0.04,1,0.94,2.01,0.01,0.002,0,333.467,unsafe
130,Assam,Baksa,Hadukata,91.1004,26.6086,2023,6.55,156,0.04,1,1.1,3.89,0.04,0.0039,0,405.7,unsafe
131,Assam,Baksa,Kumarikata,91.5561,26.7316,2023,7.48,646,0.1,8,0.67,0.1,0.98,0.0001,0.001,227.6,unsafe
132,Assam,Baksa,Lokpala,91.3984,26.6203,2023,6.8,121,0.04,4,0.99,3.96,0.17,0.004,0.0002,370.167,unsafe
133,Assam,Baksa,Naukata,91.7233,26.647,2023,7.25,401,0.04,2,1.13,0.59,1.52,0.0006,0.0015,387.633,unsafe
134,Assam,Baksa,Simla,91.0442,26.6498,2023,7.76,532,0.14,18,0.98,0.03,0.02,0,0,327.033,unsafe
135,Assam,Baksa,Sonapur (Doomni),91.3065,26.7137,2023,6.8,414,0.03,34,0.19,0.91,0.04,0.0009,0,72.567,moderate
136,Assam,Baksa,Tamulpur,91.5709,26.6289,2023,7.19,152,0.05,1,0.43,3,0.02,0.003,0,173.4,unsafe
137,Assam,Bongaigaon,Baitamari,90.5175,26.3472,2023,7.19,148,0.06,5,0.51,0.02,0.04,0,0,170.333,unsafe
138,Assam,Bongaigaon,Manikpur,90.8017,26.4686,2023,6.79,381,0.05,3,1.01,1.59,2,0.0016,0.002,359.233,unsafe
139,Assam,Bongaigaon,Medhipara Deo,90.631,26.3483,2023,6.83,119,0.04,2,3.01,3.07,0.01,0.0031,0,1034.067,unsafe
140,Assam,Cachar,Silcoorie,92.7861,24.7261,2023,7.52,304,0.01,13,1.97,1.99,0.14,0.002,0.0001,677.033,unsafe
141,Assam,Cachar,Digharkhal,92.5128,24.9992,2023,6.37,178,0.07,17,1.02,3.02,0.87,0.003,0.0009,373.1,unsafe
142,Assam,Cachar,Poilapul,93.1247,24.8319,2023,6.24,192,0.1,7,1.41,0.77,0.08,0.0008,0.0001,477.967,unsafe
143,Assam,Cachar,Tarapur,92.9794,24.8297,2023,6.63,210,0,42,0.05,0.05,0.99,0.0001,0.001,20.467,safe
144,Assam,Cachar,Kalain,92.4086,24.9681,2023,7.08,270,0.31,21,0.23,0.5,0.02,0.0005,0,81.733,moderate
145,Assam,Cachar,Hilara,92.5906,24.9275,2023,6.46,334,0.08,5,0.98,1.77,0.03,0.0018,0,344.467,unsafe
146,Assam,Cachar,Katigora,92.5889,24.8869,2023,7.83,330,0.55,5,0.45,0.39,0.07,0.0004,0.0001,154.133,unsafe
147,Assam,Cachar,Badribasti,92.8772,24.8128,2023,7.07,124,0.05,8,0.48,0.78,1.2,0.0008,0.0012,171.8,unsafe
148,Assam,Cachar,Borjalinga,92.7186,24.665,2023,7.3,83,0.15,4,0.48,0.88,0,0.0009,0,168.8,unsafe
149,Assam,Cachar,Fulertol,93.0053,24.7903,2023,6.53,235,0.17,12,0.73,0.56,0.03,0.0006,0,249.033,unsafe
150,Assam,Cachar,Nagdirgram,92.8797,24.6703,2023,6.94,451,0.36,10,0.97,0.91,0.07,0.0009,0.0001,332.667,unsafe
151,Assam,Cachar,Razabazar,93.0647,24.8722,2023,6.91,191,0.3,9,0.94,0.22,0.02,0.0002,0,315.6,unsafe
152,Assam,Cachar,Masimpur,92.7269,24.9403,2023,6.6,300,0.1,5,0.74,0.65,0.01,0.0007,0,253.2,unsafe
153,Assam,Cachar,Moinarbond,92.8358,24.8533,2023,6.84,337,0.19,2,2.04,10.51,0.07,0.0105,0.0001,785.333,unsafe
154,Assam,Darrang,Konakat,92.191,26.533,2023,6.82,587,0.05,42,0.86,0.24,0.6,0.0002,0.0006,291.067,unsafe
155,Assam,Darrang,Mangaldoi,92.017,26.4314,2023,7.46,858,0.12,14,0.52,2.09,0.08,0.0021,0.0001,194.5,unsafe
156,Assam,Dhubri,Dhubri Town,89.9911,26.02,2023,8.05,612,0.21,5,0.03,2.04,1.09,0.002,0.0011,34.033,safe
157,Assam,Dhubri,Shapamari Beat,90.375,26.2383,2023,7.9,33,0.03,1,0.02,0.16,0.04,0.0002,0,8.4,safe
158,Assam,Dibrugarh,Barbaruah,94.8787,27.3987,2023,7.13,105,0.15,1,0.17,0.9,0,0.0009,0,65.667,moderate
159,Assam,Dibrugarh,Jaipur Naharani,95.2381,27.255,2023,7.4,101,0.16,0,0.08,0.71,0.42,0.0007,0.0004,35.167,safe
160,Assam,Dibrugarh,Azarguri Gaon,94.8903,27.2617,2023,7.58,110,0.17,0,0.09,0.06,0.39,0.0001,0.0004,31.9,safe
161,Assam,Dibrugarh,Dikom,95.0692,27.46,2023,7.62,102,0.17,1,0.07,0.01,0.09,0,0.0001,23.733,safe
162,Assam,Dibrugarh,Chabua,95.1895,27.4931,2023,7.57,100,0.18,0,0.03,0.01,0.28,0,0.0003,11.033,safe
163,Assam,East Karbi Anglong,Bokajan L,93.77,26.0236,2023,6.8,433,0.07,0,0.18,0.08,0.23,0.0001,0.0002,61.567,moderate
164,Assam,East Karbi Anglong,Bokoliaghat,93.2025,26.0508,2023,6.6,184,0.19,5,0.14,0.32,0.09,0.0003,0.0001,50.167,moderate
165,Assam,East Karbi Anglong,Dillai,93.8225,25.9658,2023,6.56,280,0.19,4,0.12,0.23,0.02,0.0002,0,42.367,safe
166,Assam,East Karbi Anglong,Diphu 1,93.445,25.8461,2023,6.43,553,0.19,9,0.16,0.7,0.03,0.0007,0,60.433,unsafe
167,Assam,East Karbi Anglong,Dokmoka,93.0656,26.2083,2023,7.46,212,1.3,1,0.11,0.21,0.13,0.0002,0.0001,39.2,safe
168,Assam,East Karbi Anglong,Donka Bey Pz,93.8044,26.0261,2023,7.06,127,0.19,1,0.56,0.19,0,0.0002,0,188.567,unsafe
169,Assam,East Karbi Anglong,Lahorijan,93.6614,25.9069,2023,6.5,103,0.02,2,4.02,0.49,0.07,0.0005,0.0001,1345.133,unsafe
170,Assam,East Karbi Anglong,Lakhijan,93.7482,26.0506,2023,6.53,120,0.19,1,0.03,0.62,0.06,0.0006,0.0001,16.4,safe
171,Assam,East Karbi Anglong,Manja,93.4408,25.97,2023,6.93,210,0.19,3,0.1,0,0,0,0,33.333,safe
172,Assam,East Karbi Anglong,Mohendijua,93.411,25.9944,2023,6.76,207,0.19,13,0.1,0.02,0,0,0,33.533,safe
173,Assam,East Karbi Anglong,Phuloni,93.1367,26.1708,2023,7.16,739,0.19,16,0.79,1.04,0.01,0.001,0,273.767,unsafe
174,Assam,East Karbi Anglong,Saphapani,93.7953,26.1964,2023,6.74,372,0.19,3,0.66,0.53,0.26,0.0005,0.0003,226.167,unsafe
175,Assam,East Karbi Anglong,Silanijan,93.8722,26.3217,2023,6.9,110,0.19,5,1.63,0.36,0.06,0.0004,0.0001,547.133,unsafe
176,Assam,East Karbi Anglong,Srirampur Forest,93.0201,26.2181,2023,7.54,388,0.06,1,1.03,0.05,0.16,0.0001,0.0002,344.367,unsafe
177,Assam,East Karbi Anglong,Swarghati,93.1047,26.2042,2023,7.73,404,0.19,3,0.1,2.9,0.01,0.0029,0,62.367,moderate
178,Assam,Goalpara,Agia,90.5641,26.0827,2023,6.89,41,0.03,0,0.2,0.05,0.01,0.0001,0,67.2,moderate
179,Assam,Goalpara,Baida,90.4164,26.0258,2023,6.83,37,0.02,1,0.6,0.67,0,0.0007,0,206.7,unsafe
180,Assam,Goalpara,Dudhnoi,90.7817,25.9825,2023,6.5,373,0.04,1,1.61,0.58,0.01,0.0006,0,542.5,unsafe
181,Assam,Goalpara,Salpara,90.7008,26.0128,2023,6.99,64,0.02,0,0.89,0.17,0.04,0.0002,0,298.5,unsafe
182,Assam,Goalpara,Sarapara,90.9525,25.9714,2023,7.2,266,0.48,5,5.55,9.78,0.08,0.0098,0.0001,1948.067,unsafe
